Day,Category,Topic,Hook,Script Status,Video Status,YouTube URL,Views (24h),Avg View Duration,Notes
Monday,Weird Science,Why your brain forgets names,,,DONE,https://www.youtube.com/shorts/6ahI2V0p8Ko,,,
Tuesday,Productivity & stoicism,Millionaires do THIS every morning,,,DONE,https://www.youtube.com/shorts/c7VnsZXLOkg,,,
Wednesday,Human Behavior,"If someone does THIS, they're manipulating you",,,,,,,
Thursday,Weird Science,Scientists just discovered THIS about sleep,,,,,,,
